City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,Namibe,-15.1961,12.1522,67.98,84,80,5.14,AO,2021-08-10 23:51:44
125,Velingrad,42.0272,23.9957,67.06,51,15,5.03,BG,2021-08-10 23:51:44
126,Quelimane,-17.8786,36.8883,66.15,88,20,4.61,MZ,2021-08-10 23:51:44
127,Swan River,52.1058,-101.2676,64.56,76,90,17.0,CA,2021-08-10 23:51:45
128,Mayna,54.1135,47.6231,65.5,81,34,5.44,RU,2021-08-10 23:51:45
129,Labuhan,-6.8844,112.2051,76.05,74,67,9.51,ID,2021-08-10 23:51:46
130,Blackwater,-23.5833,148.8833,67.71,62,2,15.97,AU,2021-08-10 23:51:46
131,Palmer,42.1584,-72.3287,77.63,75,64,6.69,US,2021-08-10 23:51:47
132,Norwich,52.6278,1.2983,64.58,80,72,4.61,GB,2021-08-10 23:51:47
133,Abrau-Dyurso,44.69,37.59,69.26,85,77,3.69,RU,2021-08-10 23:51:48
134,Korhogo,9.45,-5.6333,71.71,94,83,4.05,CI,2021-08-10 23:51:48
135,Rocha,-34.4833,-54.3333,46.4,59,100,9.57,UY,2021-08-10 23:51:49
136,Gaogou,34.0175,119.1886,79.93,88,89,6.58,CN,2021-08-10 23:51:49
137,Poopo,-18.3667,-66.9667,50.56,37,70,4.16,BO,2021-08-10 23:51:50
138,Taboga,46.2663,13.1092,72.0,81,8,7.96,IT,2021-08-10 23:51:50
139,Ponta Do Sol,32.6667,-17.1,72.23,79,37,3.56,PT,2021-08-10 23:51:50
140,Oloron-Sainte-Marie,43.1944,-0.6107,69.73,96,12,2.55,FR,2021-08-10 23:51:51
141,Dajal,29.5577,70.3762,88.66,48,31,19.71,PK,2021-08-10 23:51:51
142,Shingu,33.7333,135.9833,83.91,63,100,0.45,JP,2021-08-10 23:51:52
143,Saint-Leu,-21.15,55.2833,65.26,83,10,9.53,RE,2021-08-10 23:51:52
144,Venado Tuerto,-33.7456,-61.9688,42.76,55,0,1.63,AR,2021-08-10 23:51:53
145,Tungor,53.3808,142.9564,61.68,60,0,6.76,RU,2021-08-10 23:51:53
146,Khash,28.2211,61.2158,75.61,12,0,2.71,IR,2021-08-10 23:51:54
147,Lavrentiya,65.5833,-171.0,44.51,74,73,7.02,RU,2021-08-10 23:51:54
148,East London,-33.0153,27.9116,54.57,55,0,7.81,ZA,2021-08-10 23:51:54
149,Faya,18.3851,42.4509,68.52,53,27,1.95,SA,2021-08-10 23:51:55
150,Ovsyanka,55.9575,92.5519,58.17,83,88,1.72,RU,2021-08-10 23:51:55
151,Dikson,73.5069,80.5464,39.87,92,100,21.03,RU,2021-08-10 23:51:56
