City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3280,Wuda,CN,81.72,overcast clouds,39.4994,106.7117,Grape Sightseeing Garden
3281,Cody,US,79.09,clear sky,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
3282,Meulaboh,ID,79.14,overcast clouds,4.1363,96.1285,Kost Pria
3289,Jizan,SA,86.94,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
3292,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
3296,Hazaribag,IN,81.99,overcast clouds,23.9833,85.35,Capital O 46318 Sri Vinayak Deluxe
3299,Laguna De Perlas,NI,77.68,light rain,12.3429,-83.6712,Hotel Best View
3300,Tottori,JP,75.27,heavy intensity rain,35.5,134.2333,Hotel Monarque Tottori
3303,Kuytun,RU,75.29,few clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
3307,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
3308,Kahului,US,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
3309,Ust-Nera,RU,76.48,overcast clouds,64.5667,143.2,Hotel Ust-Nera
3310,Les Cayes,HT,79.61,scattered clouds,18.2,-73.75,Villa Orphee
3311,Santo Tomas,PH,85.59,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
3313,Kashi,CN,79.81,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
3314,Hami,CN,87.62,clear sky,42.8,93.45,Laoyutang Resort
3316,Andros Town,BS,80.56,clear sky,24.7,-77.7667,Hanks place
3318,Cayenne,GF,77.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
3320,Kokopo,PG,83.43,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
3321,Broome,US,79.38,broken clouds,42.2506,-75.833,Chenango Valley State Park
3325,Altay,CN,76.93,overcast clouds,47.8667,88.1167,Jinqiao Hotel
3327,Ust-Ilimsk,RU,83.68,few clouds,58.0006,102.6619,Alenat Tsentr
3331,Orchard Homes,US,82.54,clear sky,46.8633,-114.0484,Broadway Inn Missoula
3334,Banda Aceh,ID,85.82,overcast clouds,5.5577,95.3222,Sulthan Hotel International
3337,Texarkana,US,84.11,few clouds,33.4251,-94.0477,"Holiday Inn Express & Suites Texarkana, an IHG Hotel"
3342,Dhrangadhra,IN,84.61,overcast clouds,22.9833,71.4667,Rutu raj garden
3344,Cockburn Town,TC,82.56,few clouds,21.4612,-71.1419,Osprey Beach Hotel
3350,Axim,GH,75.96,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
3352,Salinopolis,BR,78.57,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
3358,Itarema,BR,78.87,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
3359,Tortoli,IT,76.82,clear sky,39.9256,9.6572,Hotel La Bitta
3360,Rentina,GR,76.96,broken clouds,40.6574,23.614,
3361,Lazaro Cardenas,MX,78.91,few clouds,17.9583,-102.2,quinta antigua
3363,Wilmington,US,82.9,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
3366,Matara,LK,81.63,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
3367,Hilsa,IN,76.93,overcast clouds,25.3167,85.2833,Mr. Akiv House
3369,Mackay,AU,77.04,broken clouds,-21.15,149.2,International Lodge Motel
3376,San Jose,US,76.69,few clouds,37.3394,-121.895,The Westin San Jose
3379,Lasem,ID,89.29,few clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
3380,Ballesteros,PH,78.96,overcast clouds,18.4126,121.5152,Ogalino's Hotel
3381,Toktogul,KG,77.76,clear sky,41.8708,72.9402,KAGAN
3382,Port Said,EG,82.38,clear sky,31.2565,32.2841,Aracan Hotel
3383,Vanavara,RU,77.27,overcast clouds,60.34,102.2797,
3392,Gorom-Gorom,BF,79.5,overcast clouds,14.4439,-0.2361,
3393,Urumqi,CN,83.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
3394,Marsh Harbour,BS,83.35,clear sky,26.5412,-77.0636,Abaco Beach Resort
3396,Liku,ID,87.21,overcast clouds,-0.7275,119.8922,Wahyu
3397,Thongwa,MM,84.36,overcast clouds,16.7619,96.5278,U Poe Sann
3402,Keti Bandar,PK,82.27,overcast clouds,24.1447,67.4497,Haji laloo memon house
3403,Cabo Rojo,PR,81.68,overcast clouds,18.0866,-67.1457,Hotel Perichi's
3404,Lamu,KE,75.42,broken clouds,-2.2717,40.902,Lamu House
