City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description,Current Description
911,Narasannapeta,18.4167,84.05,87.66,62,84,10.4,IN,2021-08-11 01:43:26,broken clouds,
912,Labe,11.3182,-12.2833,65.64,93,100,1.99,GN,2021-08-11 01:43:26,overcast clouds,
913,Mahebourg,-20.4081,57.7,68.29,94,75,1.14,MU,2021-08-11 01:43:26,light rain,
914,Beringovskiy,63.05,179.3167,53.58,67,13,9.44,RU,2021-08-11 01:43:27,few clouds,
915,Sal Rei,16.1833,-22.9167,75.76,77,98,12.3,CV,2021-08-11 01:43:27,overcast clouds,
916,Paamiut,61.994,-49.6678,45.05,79,100,2.55,GL,2021-08-11 01:43:27,overcast clouds,
917,Klaksvik,62.2266,-6.589,47.32,86,95,4.32,FO,2021-08-11 01:43:28,overcast clouds,
918,Faya,18.3851,42.4509,66.31,60,9,2.75,SA,2021-08-11 01:43:28,clear sky,
919,Huescar,37.811,-2.5412,86.94,47,100,2.19,ES,2021-08-11 01:43:28,overcast clouds,
920,Chokwe,-24.5333,32.9833,62.96,71,100,2.73,MZ,2021-08-11 01:43:29,overcast clouds,
921,El Alto,-4.2714,-81.2147,62.8,85,87,15.59,PE,2021-08-11 01:43:29,overcast clouds,
922,Upata,8.0086,-62.3989,71.67,93,33,4.09,VE,2021-08-11 01:43:29,scattered clouds,
923,Sayyan,15.1718,44.3244,64.69,59,21,3.56,YE,2021-08-11 01:43:30,few clouds,
924,Narsaq,60.9167,-46.05,50.22,60,92,4.94,GL,2021-08-11 01:43:30,overcast clouds,
925,Nouadhibou,20.931,-17.0347,69.78,78,0,20.71,MR,2021-08-11 01:43:30,clear sky,
926,Port Hedland,-20.3167,118.5667,71.65,26,0,19.57,AU,2021-08-11 01:43:31,clear sky,
927,Yumen,40.2833,97.2,73.24,38,9,7.29,CN,2021-08-11 01:43:31,clear sky,
928,Rocha,-34.4833,-54.3333,43.3,71,78,7.87,UY,2021-08-11 01:43:31,broken clouds,
929,Saint George,37.1041,-113.5841,102.67,14,1,8.01,US,2021-08-11 01:43:32,clear sky,
930,Bartica,6.4,-58.6167,77.32,98,26,2.15,GY,2021-08-11 01:43:32,scattered clouds,
931,Rio Tercero,-32.173,-64.1141,45.81,54,0,2.06,AR,2021-08-11 01:43:32,clear sky,
932,Hambantota,6.1241,81.1185,80.94,89,75,4.61,LK,2021-08-11 01:43:33,broken clouds,
933,Lensk,60.7253,114.9278,72.27,54,60,0.89,RU,2021-08-11 01:43:33,broken clouds,
934,Chapais,49.7834,-74.8492,65.98,97,100,6.55,CA,2021-08-11 01:43:33,overcast clouds,
935,Dehloran,32.6941,47.2679,92.03,16,0,7.09,IR,2021-08-11 01:43:34,clear sky,
936,Kroya,-7.6331,109.2461,79.61,69,26,11.48,ID,2021-08-11 01:38:47,scattered clouds,
937,Pevek,69.7008,170.3133,37.71,81,74,12.57,RU,2021-08-11 01:43:34,broken clouds,
938,Kerema,-7.9631,145.7785,83.34,74,13,7.45,PG,2021-08-11 01:43:35,few clouds,
939,Grootfontein,-19.5667,18.1167,42.37,56,5,3.44,NA,2021-08-11 01:43:35,clear sky,
940,Corner Brook,48.9667,-57.9484,66.36,93,98,4.52,CA,2021-08-11 01:43:35,overcast clouds,
941,Mao,39.8885,4.2658,77.56,88,75,3.44,ES,2021-08-11 01:43:36,broken clouds,
942,Saint-Francois,46.4154,3.9054,65.17,94,5,0.0,FR,2021-08-11 01:43:36,clear sky,
943,Trairi,-3.2778,-39.2689,79.41,80,0,12.66,BR,2021-08-11 01:43:26,clear sky,
944,Binga,-17.6203,27.3414,59.94,62,0,4.23,ZW,2021-08-11 01:43:37,clear sky,
945,Bilibino,68.0546,166.4372,62.76,37,66,4.34,RU,2021-08-11 01:43:37,broken clouds,
946,Atar,20.5169,-13.0499,83.89,20,2,11.25,MR,2021-08-11 01:43:37,clear sky,
947,Una,20.8167,71.0333,80.71,77,100,11.97,IN,2021-08-11 01:43:37,overcast clouds,
948,Olafsvik,64.8945,-23.7142,54.75,82,99,7.43,IS,2021-08-11 01:43:38,overcast clouds,
949,Snasa,64.2457,12.3778,56.23,88,99,3.36,NO,2021-08-11 01:43:38,overcast clouds,
950,Kalmunai,7.4167,81.8167,81.03,75,100,2.84,LK,2021-08-11 01:43:38,overcast clouds,
951,Tabou,4.423,-7.3528,76.68,84,94,11.18,CI,2021-08-11 01:43:39,overcast clouds,
952,Ramhormoz,31.28,49.6035,91.6,16,6,3.91,IR,2021-08-11 01:43:39,clear sky,
953,Port Hardy,50.6996,-127.4199,68.18,68,20,6.91,CA,2021-08-11 01:43:39,few clouds,
954,Palu,-0.8917,119.8707,88.56,60,38,1.9,ID,2021-08-11 01:43:40,scattered clouds,
955,Miranda,3.2499,-76.2281,65.98,89,100,5.26,CO,2021-08-11 01:43:40,overcast clouds,
956,Evensk,61.95,159.2333,59.77,73,52,7.27,RU,2021-08-11 01:43:40,broken clouds,
957,Namatanai,-3.6667,152.4333,85.71,62,11,4.54,PG,2021-08-11 01:43:41,few clouds,
958,Cabedelo,-6.9811,-34.8339,74.07,88,19,9.78,BR,2021-08-11 01:43:41,few clouds,
959,Groa,62.65,8.7167,57.29,95,100,0.81,NO,2021-08-11 01:43:41,overcast clouds,
960,Rio De Janeiro,-22.9028,-43.2075,75.16,75,0,6.91,BR,2021-08-11 01:42:01,clear sky,
961,Mount Isa,-20.7333,139.5,78.57,27,5,10.36,AU,2021-08-11 01:43:42,clear sky,
962,The Pas,53.8251,-101.2541,64.42,59,75,18.03,CA,2021-08-11 01:43:42,broken clouds,
963,Strezhevoy,60.7333,77.5889,55.38,72,57,14.2,RU,2021-08-11 01:43:43,broken clouds,
964,Siguiri,11.6667,-9.5,73.96,91,100,1.83,GN,2021-08-11 01:43:43,overcast clouds,
965,Tucuman,-26.8241,-65.2226,48.2,61,0,5.75,AR,2021-08-11 01:43:43,smoke,
966,Evanston,42.0411,-87.6901,80.11,91,90,6.91,US,2021-08-11 01:43:44,moderate rain,
967,Maloy,61.9353,5.1136,60.06,95,29,0.49,NO,2021-08-11 01:43:44,scattered clouds,
968,Menongue,-14.6585,17.691,53.15,32,0,4.56,AO,2021-08-11 01:43:44,clear sky,
